BASIN	ISO_TIME_________	NATURE	LAT	LON	USA WIND	USA PRES
degrees north	degrees east	kts	mb
NA	2025-10-17 12:00:00	DS	10.60	-41.50	25	1011
NA	15:00:00	DS	10.80	-42.40	25	1011
NA	18:00:00	DS	10.90	-43.30	25	1011
NA	21:00:00	DS	11.00	-44.40	25	1011
NA	2025-10-18 00:00:00	DS	11.20	-45.50	25	1011
NA	03:00:00	DS	11.40	-46.50	25	1011
NA	06:00:00	DS	11.50	-47.60	25	1011
NA	09:00:00	DS	11.50	-48.70	28	1011
NA	12:00:00	DS	11.50	-50.00	30	1011
NA	15:00:00	DS	11.70	-51.40	30	1011
NA	18:00:00	DS	11.90	-52.80	30	1010
NA	21:00:00	DS	12.10	-54.00	30	1010
NA	2025-10-19 00:00:00	DS	12.30	-55.10	30	1010
NA	03:00:00	DS	12.50	-56.30	30	1010
NA	06:00:00	DS	12.60	-57.50	30	1010
NA	09:00:00	DS	12.60	-58.60	30	1010
NA	12:00:00	DS	12.60	-59.60	30	1009
NA	15:00:00	DS	12.60	-60.50	30	1009
NA	18:00:00	DS	12.70	-61.40	30	1009
NA	21:00:00	DS	12.90	-62.20	30	1009
NA	2025-10-20 00:00:00	DS	13.20	-63.00	30	1009
NA	03:00:00	DS	13.30	-63.90	30	1009
NA	06:00:00	DS	13.30	-64.80	30	1008
NA	09:00:00	DS	13.40	-65.70	33	1008
NA	12:00:00	DS	13.50	-66.50	35	1008
NA	15:00:00	DS	13.60	-67.10	35	1008
NA	18:00:00	DS	13.70	-67.70	35	1008
NA	21:00:00	DS	13.80	-68.30	35	1007
NA	2025-10-21 00:00:00	DS	13.90	-68.80	35	1006
NA	03:00:00	DS	14.00	-69.40	38	1005
NA	06:00:00	TS	14.00	-70.00	40	1004
NA	09:00:00	TS	14.10	-70.60	43	1004
NA	12:00:00	TS	14.20	-71.30	45	1003
NA	15:00:00	TS	14.20	-72.00	45	1003
NA	18:00:00	TS	14.20	-72.70	45	1003
NA	21:00:00	TS	14.20	-73.20	45	1003
NA	2025-10-22 00:00:00	TS	14.10	-73.60	45	1003
NA	03:00:00	TS	14.00	-73.60	45	1002
NA	06:00:00	TS	14.00	-73.50	45	1001
NA	09:00:00	TS	14.10	-73.50	45	1001
NA	12:00:00	TS	14.30	-73.50	45	1001
NA	15:00:00	TS	14.30	-73.70	45	1001
NA	18:00:00	TS	14.30	-74.00	45	1001
NA	21:00:00	TS	14.30	-74.30	45	1002
NA	2025-10-23 00:00:00	TS	14.30	-74.50	45	1002
NA	03:00:00	TS	14.40	-74.60	43	1003
NA	06:00:00	TS	14.70	-74.60	40	1003
NA	09:00:00	TS	15.10	-74.70	40	1003
NA	12:00:00	TS	15.40	-74.90	40	1003
NA	15:00:00	TS	15.40	-75.10	40	1002
NA	18:00:00	TS	15.50	-75.30	40	1001
NA	21:00:00	TS	15.80	-75.40	40	1001
NA	2025-10-24 00:00:00	TS	16.00	-75.50	40	1001
NA	03:00:00	TS	16.00	-75.60	40	1001
NA	06:00:00	TS	16.00	-75.50	40	1001
NA	09:00:00	TS	16.00	-75.30	40	1001
NA	12:00:00	TS	15.90	-75.00	40	1001
NA	15:00:00	TS	15.80	-74.60	45	999
NA	18:00:00	TS	15.70	-74.40	50	997
NA	21:00:00	TS	15.90	-74.50	53	995
NA	2025-10-25 00:00:00	TS	16.20	-74.70	55	993
NA	03:00:00	TS	16.30	-74.80	58	990
NA	06:00:00	TS	16.30	-74.90	60	986
NA	09:00:00	TS	16.30	-74.90	60	984
NA	12:00:00	TS	16.30	-75.00	60	982
NA	15:00:00	TS	16.50	-75.10	68	979
NA	18:00:00	TS	16.60	-75.20	75	976
NA	21:00:00	TS	16.60	-75.40	83	974
